,Number_topics,Alpha,Beta,Num,UMASS,NPMI
90,12,1.0,0.8333333333333334,10,-2.726486334202305,0.013258866749641338
91,12,10.0,0.8333333333333334,10,-1.256789479177013,0.040946254458143885
92,12,0.01,1.6666666666666667,20,-5.284483844923716,-0.004830238656287186
93,12,0.1,1.6666666666666667,20,-5.933443652903189,-0.018538611918200713
94,12,1.0,1.6666666666666667,20,-3.6368527208059507,0.01481378089355539
95,12,10.0,1.6666666666666667,20,-1.3927641000609106,0.03569184753959245
96,13,0.01,0.07692307692307693,1,-2.4084901055726804,0.004354021451927018
97,13,0.1,0.07692307692307693,1,-1.5221797155799606,0.03488001246799269
98,13,1.0,0.07692307692307693,1,-1.373640632951364,0.03792710195118976
99,13,10.0,0.07692307692307693,1,-1.3342739039083686,0.03963074830260896
100,13,0.01,0.7692307692307693,10,-3.9984231614582337,0.00034120904990822754
101,13,0.1,0.7692307692307693,10,-2.9521609972525034,0.021345904244935703
102,13,1.0,0.7692307692307693,10,-2.9575522225806696,0.014771798644659133
103,13,10.0,0.7692307692307693,10,-1.3979946493715656,0.03884825973908442
104,13,0.01,1.5384615384615385,20,-5.855158738853573,-0.0135989799312537
105,13,0.1,1.5384615384615385,20,-5.713803855854755,-0.021966068923841595
106,13,1.0,1.5384615384615385,20,-5.392003142671191,-0.003060126160925768
107,13,10.0,1.5384615384615385,20,-1.4812826896446178,0.03278923324480477
108,14,0.01,0.07142857142857142,1,-1.6823612963826755,0.02209971276646389
109,14,0.1,0.07142857142857142,1,-1.582669318583781,0.03184756295497994
110,14,1.0,0.07142857142857142,1,-1.4070985563083485,0.04044457496874936
111,14,10.0,0.07142857142857142,1,-1.2789919085088344,0.04724638100475842
112,14,0.01,0.7142857142857143,10,-4.560187669932667,0.0074803243803170565
113,14,0.1,0.7142857142857143,10,-4.555315650999843,0.011454754554143517
114,14,1.0,0.7142857142857143,10,-2.730803441275953,0.017211972441519636
115,14,10.0,0.7142857142857143,10,-1.3577850456455156,0.03985542171865176
116,14,0.01,1.4285714285714286,20,-9.062686741014385,-0.0939699634325399
117,14,0.1,1.4285714285714286,20,-8.594049060269418,-0.08296678457888765
118,14,1.0,1.4285714285714286,20,-5.916051729417198,-0.010782361892381543
119,14,10.0,1.4285714285714286,20,-1.4114054917782837,0.034546260727371526
